asin,reviewId,title,content,star
B08L5M9BTJ,R18VVOZ8UXPCL8,"Greedy Apple, Amazing Brick",I don't like that apple doesn't give this with the expensive phone but it's the best power brick I've owned.,5
B0773BYS6P,R3SBBX8Y1PGY9Z,Perfect size,"No volt meter on my motorcycle.. works great for what I needed, a power port and volt meter",5
B01MXM9TSR,R2SCSMO47Y34IJ,Ports,Easy port to charge multiple units,5
B08JYH992T,R34FF71US8HWBL,Wireless charger,"I’ve had this wireless charger for about two months and I use it approximately every other night to charge my iPhone 11 Pro. It can’t get much easier than setting your phone on a disk — no more fishing for cables or trying to plug in the phone in the dark. The light it emits is pretty bright in a dim room, so on charging nights I set my phone so it covers the lights, and on non-charging nights I simply flip the disk over so the light won’t bother me. The charger generally works consistently, although I’ve learned to verify that the phone recognizes the charge before I go to sleep. (Once in a while, the phone doesn’t seem to recognize that it’s on a charger despite being solidly centered; I don’t know whether that’s an issue with the phone or the charger, but picking up the phone and setting it back down on the disk usually corrects the issue.)

Overall I’m very happy with the charger. It’s attractive, minimalist, and of sturdy quality. However, I knocked off one star because the company emailed me after purchase to offer a free second charger if I write a five-star review. To put it mildly, I was disappointed to receive such an email. I really don’t appreciate a company trying to buy five star reviews in exchange for free product. I wish they would let the charger stand on its own merit because it’s a great product and I would have given it five stars.",4
B07XJTT9WG,R2JDWZPJ3K7QJN,Will not supply 36 watts or 7.2 amps at 5 volts.,Does not perform as advertised.,1
B07KVQXJSY,R1AVKLCDJSNDR5,Works like an original cord,"I use this to charge my phone while I'm out, works quickly and doesn't take up too much room.",5
B09MV3MQN3,R38A5B6B8JYUAR,Not fast charging whatsoever,My phone went from 18% to 43% in an hour. My cable can charge from 10% to 90% in that time. Don't call it fast charging if it isn't actually fast.,1
B01MXM9TSR,R3USONK3FC6WLV,Great idea! We have two iPads,"Great idea! We have two iPads, to iPhones, and a Kindle. This really simplifies charging all of them in one place, our charging station ;)",5
B09LYD2KTM,R1T6HW7CIY5GF4,I love this charger.,This charger works great and is worth the money. I do have to take my iPhone 13 pro max out of the case as it is heavy but I still think it does a great job.,5
B07WGKMZ56,R88S3OTUFCHMX,Works great for iPhone 11,Bought for iPhone 11 - works great,5
B07QVL8ZXW,R3T31T7UN6IA7S,Broke upon first Charge,I plugged this charger in the first time and it instantly snapped off into my charge point. I wasnt hard on it and plugged it in normally. Needless to say you can tell this is cheap.,1
B07MT4S44C,R2A284P8PM9DB0,Love this,This charge up my phone within 1 hour its great,5
B091H5DPF7,R1FHE0ZN6KSVV,Just works,Just works. No need to write long review. :),5
B07MTSYXSC,R1YYDT515FFJJH,Works ok but not as good as original wired charger!,"I just got this thing today several hours ago and so far I'm somewhat impressed, kinda happy that I bought it and it's worth the money I think because I've had my Samsung Galaxy Note 8 phone for a few years now and my battery doesn't work nearly as good as it used to because I'm constantly charging it all the time and it runs down real quick but lately my charging port on the bottom of my phone sadly basically became unusable so no matter what cord or charger I use it hardly charges up at all and that's so incredibly irritating because it just won't make good contact anymore and it's just constantly draining most of the time even when I have it plugged in so I researched what I could possibly do and I thought about actually ordering another battery and charging port both and trying to install them both myself but it looks a little bit difficult and I was worried that I might permanently damage my phone even more if I try that and I still might I'm not sure because I would like to have a newer charging port as well as a new battery no doubt about it honestly and extend the life of my phone even more without getting another new expensive Samsung phone again soon even though eventually fairly soon I will have to get a new one as always just like everyone does every couple or few years but I saw this thing here on Amazon and it got pretty good reviews so I figured I would try it even though I never felt confident that these wireless chargers actually worked but I figured it's worth trying and I'm glad that I ordered it because so far it's working somewhat and you can even lay your phone sideways and have it charge wirelessly sideways also in case you're watching a video or something so you don't have to have it upright all the time which is really cool but it really does save your charging port and I wish I knew about this thing a long time ago and I wish I had faith in them when I heard about them before my phome got so old and messed up but I never thought they worked at all without actually plugging something into your phone and I thought these things were just a gimmick like with a lot of things and they might be somewhat but at least so far this thing is working somewhat even though it does seem to charge slow compared to when my phone was newer with the original plug in charger but I think that's possibly most likely due to my old phone with the old battery really because it is charging and it's extending the life of my phone so that I can continue to use this phone and keep it for a while longer but it doesn't charge fast enough if I actually have the data on or if I'm watching a video because it will still drain down but just not as fast as if I didn't have it on this thing so that's a big dissappoontment, it really only will charge up my phone completely if I'm not using my phone at all and if I have my data off which is better than nothing so it works ok and it's saving my charging port on the bottom of my phone because when you're constantly plugging your phone in and unplugging it for years even though I thought I was careful it really wears out the port on the bottom of your phone over time just like with anything and charging it wirelessly is saving your port and not wearing it out but the original charging way does work a lot better but just not on my phone anymore sadly because it got damaged and my phone and battery are both really old now sadly so I wish I got this sooner before my phone got so old and damaged to see of it would work even better but it does work some but not as good as a wired charger on an undamaged and newer phone for sure!",3
B076DYHC4S,R8CZAD22NX9C6,Bull desktop charger,It does the job..,5
B085GJKB5B,R2DVD28JSJRNZR,Good prodt,25w charger review,5
B071WYF9HP,R1TBOQ21K2S6IB,Great Charger,Works great charges my iPhone very quickly. Much faster than my traditional house charger.,5
B072K6BLJJ,R306GWGAXZWMMI,The light color does not change when the charge is complete.,It is a good charger but the light does not change its color when the charge is comlete. I don’t doubt the quality of any of Anker’s products.,4
B07DK7WSN8,R3PHAZ8L4GKTSD,Wow,It charges cool things,5
B082XDGK8J,R7GLAWM5SDRL2,Excellent product,I charge my phone at work with this. Very fast,5
B094FQSGMM,RJHP921XKGL1H,Good quality but…,Good sturdy product and with the adjustable viewing angle i makes it very easy to use. Only thing is the headphone charger on the base doesn’t work but disappointing but I’m going to try a different plug to se if that makes a difference.,4
B07MSFFDNP,R3184HYDY6OMTQ,These are awesome!,"I got these so that I could charge my iPhone XR, and they're perfect so far. Easy to use and they look fine enough. Do yourself a favor and plug them into a higher voltage power brick than the one that comes with the iPhone. It will be able to charge your phone a whole lot faster that way. I put one near my computer and one in the bedroom, and my phone hardly ever drops below 60% now. Super convenient and a great price. The angle of the charger is great at my desk for Facetime, watching a video, or easily spotting notifications.",5
B07WGZ8DSL,R1FYH2E3POCUUK,Car charger with light & double plug.,Nice light up for car charger. Double plugs for better use. Meets my needs & expectations for a car charger.,5
B01456U4N2,RDX24JPDO9ZY1,A good buy!,Work as expected!,4
B07KP49H6C,R28A9R3HPCK5PT,It is absolutly the perfect charger for my LGStylo4!,Very happy with charger! I like everything about it!,5
B085ZS7RF3,R1MB0THPH7YPOT,Perfect wireless charger!,"Really nice little wireless charger.
Small and tidy, only just wider than phone and only a couple of mm thick. Blue light to indicate charging is visible but not at all intrusive. And charges phone (samsung s9) though wallet case with no issues. All in all perfect!!",5
B00846FO0I,R1YPW0H9JD6ZJ9,Good product!,"When I first opened the package, I thought the box was going to be way too big but after putting in all the cords I needed, I realized it was just right. I wanted to secure it under my desk rather than on the floor so I didn’t have wires dangling from the desk to the box. It was a little challenging getting the lid to shut and stay put (possibly because I had a lot in there: a dell laptop charger, macbook laptop charger, desk lamp cord, monitor cord, standing desk cord and a 3 socket extension bar). After securing it with velcro strips to the bottom of the desk, I had to use some extra tape/velcro to seal the lid because it kept popping off. Overall great product and it makes my workspace look so neat.",4
B08RD23N46,R15P2JYIUXNC47,Love this! So compact yet so powerful too,It is very compact and folds down flat. But don’t let the size for you because it charged my phone AirPods Pro and Apple Watch all at the same time within 90 minutes.,5
B01N68AMCU,R375XM61CBHYLE,Meh,"I love the cord length, but it doesn't always connect well with my phone, and it's a slow.charge",2
B08F4RT244,R1946WC7TOV5VN,Went up in smoke,Garbage literally went up in smoke after 3 uses,1
B07BJ53BPN,R3ILNRX84T87W0,Charging,With so many kids at home these are great to use lol,4
B08HNBHSQV,R11WCHT9CELQLZ,Easy to install and charges great,Easy to install and charges my phone pretty quick,5
B07X32ZLM5,RJ03X27OAUP46,Charges pixel 3 rapidly.,"This apparently fast charges a pixel 3. But I haven't used it much yet. Will update if phone explodes, etc.",4
B07JWF6X2C,R1IF9ESWGWGRA6,Included cord low quality,"Worked well for 6 months, car charger port works well but the cord does not work anymore.",3
B07MW4YWQ4,RIAW5XCJ1XEWL,Good charge,Charges fast with my Galaxy 10. Can put on charger horizontally or vertically.. unlike my other wireless charger no looking for the sweet spot. More expensive than others but worth it.,5
B089GV5H7B,RDLJJHT8BP6N6,great product 👌,Great 👍,5
B08YR418KH,R2HWZO4ZPPMQRW,No fue lo que esperaba...,"Bueno...ya que podemos hacer mención de nuestro comentario, por qué AMAZON nos lo pide...
Almenos a mí, no me sirvio de mucho y no hice mal uso de el, se rompió donde conecta al dispositivo al segundo día de adquirirlo...",1
B09MF22DQG,R2L9IYLKHMTHPM,Excellent and convenient product,"Great product, less cords and having everything in one station is amazing",5
B082XDGK8J,R498FE82FYDJ1,Not reliable,It work for a week and Now intermittently.,2
B07PLP7S67,R2J0MPRGVGI55I,Cord is a little short,"It works just fine just know the charging cord is perhaps smaller than ones you’ve purchased before. If
You want to talk while driving and it’s being charged the cord really isn’t quite long enough.",4
B07GKRR4JH,R109JQXP1A749B,Works great,Love it,5
B07WC2FQ65,RDCI5RE6QY5WB,"A little positional on my S20 Ultra, but overall, works for me","Wish it would work better with all cases. It is positional with mine, whereas, other chargers seem to not be. The watch part is a keeper though.",4
B08W44B2TN,R11YAOFLSDHYAQ,Great product for new iPhone,Just got this item but so far it’s been great and looks really nice. The magnet isn’t as strong as my Apple Watch magnet that comes with it but still does the job and keeps the watch in the air.,5
B09HQHJLSR,R2QI72CE1ABDKO,Watch Does Not Charge,Less than 3 months after purchase the watch won’t charge. Watch charges on other charge stations. Phone and AirPods charge fine but o don’t charge my AirPods very often.,2
B07CVWTDM5,RBVKGU6XKQQGE,Charges Through Your IPhone Case!,"The Belkin Boost Up charging pad is wireless, fast and easy to use. We love that we just lay on iPhone down and give it about an hour and comeback to a fully charged device. It works for the iPhone X, 8 plus, 8 and newest Galaxy phones. Belkin gives you a three year warranty on the charger and four different color to choose from. It’s 10 watts and charges through my case, which is great! Overall, this is easy to use, quick and worth the money,",5
B07TTJ6KSH,R1D513TYA5N6B0,Excellent,Excellent product thinking of ordering a second.,5
B07K1PHQBV,R1TRPSDSKU2U66,Stopped working after 3 weeks,Stopped working after 3 weeks,1
B08D34L2F8,R1RNG26MI8T1EB,Didn’t even work right out the box,"It would not charge my phone , it would work for a couple seconds then lose connection and just stay blinking, the AirPods charging didn’t even work.",5
B07WC33HLS,R21F9Z8MQOCMFD,Note 8 Fast Charger,I read alot of reviews and thought it was a fast charger. Apparently mine wasn't a fast charger.,1
B07437M5QQ,RT33SL7I6IEMX,Charged,I love them ! They do just what need in,5
B01MSN6329,R3G5TYG0V9CZ4K,Great quality!,I love this thing!,5
B07WYCJLS7,R142L3462E0UQU,No usb type c input,"It's not usb type c. Comes with It's own cable but my watt charging brick it usb c to usb c.
Meaning, I had to find an older charging brick.

Their ads say nothing about usb type c",1
B07GQSY4N8,R3L7K4MBS6MI6,Great product so far,"I purchased this a while ago, and it works well. I plug my phone and Apple Watch into it every night, and they’re fully charged in the morning. I’m happy I purchased it!",5
B07V23QJ82,R1NYCCL57N1KOY,Charger ports are on fire!!,"Do NOT recommend. After first charge the charger head was so hot I thought the plastic was going to melt through. Poor quality. Fast charging is not even fast. Takes too long to charge, over 5 hours. Probably why the charger overheated.",1
B07QX1Q4J7,R1BXJ1DKCTCHHP,Perfect charging cord,Works perfectly. Charges fast. Amazing quality,5
B09PGBDP66,RXE9PQWPJZJA9,"Great item, fantastic price","Perfect. Seriously don’t buy the one Apple tries to sell you, this one does the same thing for far less money! Lightning fast charging!",5
B01CDKCC0U,R1C8PO7JXISION,I had a great experience with this product and with the seller,I had a great experience with this product and with the seller. I was going on a road trip within days from when I ordered this and definitely needed it for the GPS on my iPad as I would've run out of battery in no time. Thankfully it came within 2 days! I would definitely order more items from this seller. Thank you for the great service and good quality product!!,5
B07J2KMP4X,R22FW5A3IYQHOP,Would not work consistently.,"I have the Google Pixel 4 and could not get the charger to work consistently. I don't use a case and it would only randomly charge. Not sure if I got a defective item, but for the price, it is not worth it. I returned it.",1
B09M8FGSJ6,R3O70NYB0N5TQ8,Trash,Doesn’t charge all items. Don’t work with my IPhone 12,1
B082W23XXL,R1VY5PS3GMUI8O,Bad quality! Has not always been this way!,"See image for what happened with the first one. And now the second one! I just purchased them in February. Once the wires were exposed on the first one, it stopped working! Ridiculous!

I’ve purchased from here before for my son and they lasted much longer than this! Not sure where they got this batch of chargers from.",1
B088D5VTYV,R23577MV7SJPKX,I love it,"I love it! it works with my s8, note 10 plus, Active watch and Samsung ear buds live. A great purchase. it's wireless and fast charging.",5
B083BB4VBD,R34BLAVI58FGW5,No es compatible con watch 4,Dice en la publicación que es compatible con watch 4 y no es compatible,1
B07WRKXQ8W,R3JJZ08Z0KZDIL,AMAZINGGGGGGGGG,"Lo amo. Aparte que el color es bello, carga mi teléfono súper rápido. Realmente recomendado 300% y mas. ❤️❤️❤️❤️❤️",5
B0797F2V5C,R3JACBGJYA03RN,Five Stars,Works great on my galaxy s9+ nothing extra needed.,5
B07R7K2QMW,RGYO09I1FTB77,Great charger head,Buy this over apple ones cheaper an apple didnt include one so dont put money in there pockets,5
B08RJ2WF9V,R3KXS1O32RPT8P,Will not charge all 3 devices at once.,"Tried the unit with the supplied power supply to charge a iPhone 12, Apple Watch, latest series and AirPods pros. All devices were not fully charged overnite. Used another power supply for a different night of charging, same devices, the watch and AirPods charged, the iPhone charged to 50%. I would not recommend this charging station if you expect to get all devices charged at same time.",1
B07VHDSNNT,R3HJQEVSXD927V,Spare charger needed,This works great. Fast charging compared to what I have now.,5
B08LGRMWBM,RETNP6C8YU6FA,Stopped working,"This charger and plug both worked amazingly for me for 5 months and then the wire stopped working, I brought it in to see if it was the outlet but it was the wire.. the plug still works but the wire doesn’t work",2
B099F6LNSC,R39SBP6X2M1EWG,Works as advertised,"Protect Battery from overcharging, Charge time, adapter size. So far use at home",5
B0836QVLD3,R34DBWM8T1BKZV,6+ months and So far so good.,Had this charger since june so far so good. Charges my I phone 12 super fast and cord is long going to order another one soon..,5
B077HFFLMS,RJH44TBBKAK11,Meh,Is at best a mediocre product.. And the customer service for this company this company is terrible. I won't buy any more of their products.,1
B01N4202SN,ROKSXL8C093MR,Good value for the money,Good quality,5
B08P17LX4X,R8N3KK01T24OU,This charging station Rocks! Buy it.,I’ve been using this charging station for months now. I’m quite happy. It can charge all my Apple devices with ease and looks fantastic.,5
B0753BMWMB,R3FVFG6MES76FH,Does the job as per description.,"Arrived by the delivery date.
Good item, only let down is that only the official Joy pads work with this charging dock, otherwise no complaints.",4
B07H93NYC5,RXGR5TJB7OM5V,Just what I needed,"I bought this to use in my car after the charging port on my phone quit working. It had a grabby ring top and bottom that keeps the charger in place on the console and the phone in place on the charger. Exactly what I need.
Wouldn't work on a slanted surface like a dashboard. But on the flat console it's great. And in the house it could sit anywhere.",5
B08P1PY31W,R2TRSLSK9187OQ,I’m Very Happy with this FAST charger. It is really fast.,"The power of charge fast is real. My daughter has one and she told me it is value for the money she paid and now I can tell you the same, it is worthy to buy.",5
B095Z45WWP,R2YS2HK9IKSERT,Car charger,Good value,5
B06XH4X7SZ,RUUERYFXTVAQC,This wireless charger is awesome! Works great with my iPhone 8 Plus,This wireless charger is awesome! Works great with my iPhone 8 Plus. I leave it plugged in on my desk and it's been a game changer. I also love being able to make it stand up like in the picture or have if flat. I would highly recommend this product. Don't settle for a weird brand name that's cheap because you'll get what you pay for.,5
B08K9FP2SQ,RJJ4MMWWYV3LB,Works Great,Good price and reputable name,5
B08JYH992T,R30U082JREF9FL,Looks good but has issues,Product looks good and appears well made. Issue was when charging a phone you could hear a high pitched frequency sound which I have not encountered on any other charging pad I have. That's unacceptable so returned. Also didn't like that there is an alway on light on the pad regardless if it's charging a phone.,2
B08XX2JCP8,R2DQ8K5Z893M4V,Get it!,Absolutely love it!,5
B09GFFXVT3,R39GJ5XME8GFXZ,makes my phone hot,i have an iphone 13 and this charging device always makes my iphone hot to the touch. Not sure if that's damaging my phone.,3
B082XDGK8J,RX7CQY5QWF24U,Easy charging,"It's like power windows. Once you have it, you will never want to plug a phone in again",5
B01N8PPY1H,R3V68YY4W9906L,Works great. Arrived on time and as described,Works great. Arrived on time and as described.,5
B07X8PFM8D,R300ZZ1U5IY9D6,I received the real items,It working well no complaint,5
B077VFGNYZ,R2HBM3QYYCGCSJ,Compact and Reliable,Small for a charger with multiple ports which is why it is perfect for the avid traveler. I connect two phones a watch and a Tablet and it handles it with ease. Great buy!,5
B08F9C8LW2,R2XR6AIO4NA4QW,Fast charge,Very good unique style,5
B07KP49H6C,R3AG7ENIP4X6IP,Great charger,It is great quality. The cord is strong and long. Much better than the standard chargers I'm used to.,5
B07KFS6RQQ,R17NJ32IVT9KIG,pops out of socket,"works fine but pops out of socket every 500 yards. If your roads are not velvety smooth don't buy it.
Update one year later: one after another plug ins failed. They just gave up. And the charger itself got so loose in the socket. I wonder if that led to the port failure.",2
B09JZYRRQ2,RM0YWF05R0WL1,Good product,High quality product,5
B08LKVLWVD,R10FC6MD6SXHKB,Awesome!!,"Charge really fast,,, I love it!!!",5
B08Q3P3WWP,R20QZ61T3V35SR,Great substitute for original Apple Iphone charger,I like this charger and good substitute for original apple iphone charger. Quite fast and have been using is for sometime.,4
B082XDGK8J,R1DXDGW159SAPE,Awesome charger,"I purchased this for my husband who owns an IPhone 11, the charger works perfectly. I even have a thick case on it and it still works. The package arrived quickly, very happy with the purchase.",5
B07MW4YWQ4,RY029H220TX4B,Amazing charger,Amazing charger! Love the fact that it has a fan in the back,5
B07N682SWY,R1HWGPFM0WAVEH,Works great!,It does the job as advertised.,5
B07GZ78R6D,R1QUVN1VXUNZQH,Fast charging on the go,Great charger! Fast charging on the go!,5
B098F7Q9KZ,R3CKIPAI6MKL5L,Seem to work well!,Charging my new Apple IPhone 13. Seems to work good,5
B07FCP1L2J,R1YSXB556TVOV5,Quality charger.,Liked the cable material as well as the black color of charger and cable. Like the blue light on charger when in use. Connections are secure with no wobbling. I am very pleased.,5
B07BKL7B9R,R10BFR77YI6VN1,Perfect for travel,"This is a great charging pad, I have a few and keep this one for travel. Charges quickly",5
B09WD9DMQK,RJMK93U28BGTM,Best at what it does,"It works really well. 13PM, Apple Watch, and AirPods Pro all charge together looking nice and neat on night stand.

Can sub out AirPods with my non-MagSafe work iPhone and it charges that just fine in the bottom slot.

It may be overpriced, but it does what you want and it’s what you’re looking for if you’ve made it this far down the research rabbit hole.",5
B00E1UWA4O,R3P7XAC50OSO6B,Five Stars,Compact and work perfectly!,5
B07RP1XCZF,R236B5EQUYHIDV,Too hot to handle l,"I Don't think this just started, I think I just hadn't noticed. I've had these for about a year and was very pleased with them. Then today I went to pull One out of the wall socket and it was burning hot. I couldn't hold it. I tried another one just to see if it was that one or all of them. The second one also became so hot that it could have burnt my hand.",2
B09K71C9ZV,R1HMXYDWGT3L7T,Does Exactly What You Need,"For the money, this is a great value. The magnet is strong enough to hold, but not strong enough where it requires two hands to remove your phone. That's the most important thing because it allows for a seemless, easy going experience.",5
B07MNY6MBB,R31M8AUZKFHS3P,Does not last long,Stopped working after a couple of months,1
B01JLXTQ1U,R1BQPVU67FOE17,Five Stars,Absolutely Perfect! Keeps wires close to the wall and out of the way. Will buy again,5
B07MYRM6WP,RHGUXK7E2N4KO,Stopped working,"Used this hub to charge an iPhone, Bluetooth, and I set of hearing aids. Stopped working in the first 3 weeks.",1
B0753BMWMB,R2PW158ZLY0D89,No complaints.,Returned another charger and got this one instead. I have 2 of these hooked to the dock's USB ports to charge 4 pairs of joy-cons.,5
B09HL8RZ6W,R18Y99653WYLL3,Major disappointment,This product is really not a good product. It charges maybe 20 percent of the time. I dont even think google tested this because it has so many flaws. I purchased another stand by a different company and it works great. I was cheaper I might add. I would not recommend this product at all. Google dropped the ball on this on.,1
B08WX99CYJ,R2RFMRJQA6P7UH,"Good charger, a little too big, though.","The product is really good, and you get what you see. Nevertheless, it is a little too big.",4
B09B23KVKT,R37KA66VZBLA38,Works great,Very useful to avoid having all the cables near my desk. Charges phone and watch fast,5
B075L64BZM,R3KK5RUXSKGSUP,Everyone wants them,This is my second purchase of these charges because everyone wants one when they see it. I had to buy more for the ones I've given away!,5
B07L9QST54,R2WRA261PXHKLC,Easy to install,"These are easy to install with basic tools. You will need about 3"" behind the face to install and wire. If you're adding to a new circuit you will want to add a fuse around 10a or so if this is the only thing on there. Beware if you wire this straight to battery it will end up killing your battery if left sitting. If you want to wire to turn off with ignition you will want to add a off road lighting style relay. The trigger wire is connected to your ignition source to turn relay on and off. Then relay is wired straight to battery. That is the proper way to wire additional loads to your ignition. Don't splice into your ignition circuit and power these extra loads. The circuits were never designed to handle it.
Now the more technical aspects these are QC port and will quickly charge your fast charge devices up to 18w also. There's also fast charging 15w WIRELESS chargers that work well. But check the specs make sure it's 15w.",4
B08CV9V743,R2T5EYS3CR21EQ,All good,Fast service. Product appears as advertised. Seller follow-up,5
B07WZKK6VM,R1TDNMI4619T3T,LOVE IT!!!,Its so great and convenient to have everything together! Great quality and my boyfriend just LOVES it..,5
B00VH8ZW02,R3BY6UFUF2F9TH,Terrific Product,I purchased on charger for my wife and myself and liked it so much I ordered one for my mother-in-law who lovers hers as well. Fast forward a few months and I have ordered four more as Christmas gifts for other family members. It has performed flawlessly and at this point I don't know how we kept our devices charged without it. That it adjusts the power based on the device is brilliant. The warranty is excellent and I appreciate that the company contacts their customers with a follow-up email ensuring support if problems develop. First class all around.,5
B08139YF93,RFVAXSRO2EK7O,Good purchase,I got what I expected. It is what I needed,5
B0719KV9PH,R2MOKC3JY3UNIL,Just as good as Apple,No need to buy the expensive Apple charger. This product works perfect.,5
B09FT3RT2Y,RW3M8EX1ERRL8,This is a convenient tool to have. Thank you,I like how it can fit conveniently on the night stand and charge all devices at one time.,5
B082W23XXL,R196Q6T5XLRR9Y,Best charge to buy,This charger is good it charges fast and is hard to bend it and it does come in 2,5
B01D4QEF84,RAPU2J3DT2UE8,Does not work on iPad 3rd gen,Does not work on 3rd gen iPad. How do I get my money back?,1
B07437M5QQ,R1XZADNWGRBZC5,Compact but powerful,Used it mainly for travel. Small and compact but powerful.,5
B08CB8X4P2,R1VUUQS57M63IX,"WAITIEE 3 in 1 Wireless Charger,Qi-Certified","Awesome charger
This is my 3rd type charger for iPhone, iPro buds, and iWatch. This by far has been the best one hands down.",5
B075NDTVJV,R1HOLLXI1BRYQF,Five Stars,Fast charge,5
B09GJTF54Z,R1HJVIVUL2EFLF,Love the USB C,New Headphones are USB C. Love that I can charge along with the norm USB,5
B07Q73RYKK,R2G33VHR70SD7C,Chargers,The plugs did not work.,1
B07DMNPNSH,R1C0PMMZNX01CP,Just what I expected,Charge all my devices,5
B096FKSYCL,R2ITJ24XZZA8DP,Does what it says,"It works. It holds my iPhone 13 mini securely and the magsafe charging works. The screw that tightens the bracket in the CD slot is hard to secure; a different or larger thumbscrew head might be easier to turn. Overall, I'm pleased with the overall functionality of the thing and that it ""does what it says on the tin.""",4
B09K71C9ZV,R3N9U8HATUN8N,This product is a scammer piece,"It clearly states on the box and the description of item that this will magnetize itself, it definitely does not and does not come with magnets to attach to your device or the charger/car mount, the charger works great when you hold it to the mount, defeats the purpose of a mount don’t ya think?? Terrible, pissed I wasted money on it, and have to take my time to return it. I have never left a negative review in my life.",1
B08NX7MW5B,R23ZD79BBRRMNI,Even better than the apple version,Awesome product,5
B0946VSWKH,R1H8WAQ8F6UQ1,As advertised,As advertised,5
B07VG9JMG1,R7DAGV605GR12,Great charger,The phone does not get hot,5
B09GLQV72Z,R3F20TVI0VH0I8,"Works great, solid customer service","This charging stand is great! I had to fiddle with the watch charger to get it to fit right, but it's working well now. I don't have EarPods so I can't speak to how that works, but the rest is perfect. This is the first wireless charger I've used and I'm thrilled with it.",5
B09FDDG2MY,RR1JMDUJ9GNIG,Amazing product,"The product worked really well with my phone and mounted well on the car vent. I liked the fan feature which would prevent overheating, and the suction from the magnets onto the phone was strong. My phone had the MagSafe feature and with this charger, it would charge fairly faster than I expected. I like how it came with a USB C cable which is high speed rather than a regular android cable. The packaging was overall great and I was really satisfied with the product. Overall, this product is a must-have and everyone with a MagSafe compatible phone should indeed buy it!",5
B073WVQRH8,R2U709P4076ZCI,WOW fast charger & thru phone case too!!!,WOW... this charger really surprised me. It charges my Galaxy Note 9 fast & thru the case too!! I follow Jimmy is Promo & he said it's hands down the best charger for a Note 9 & others too!! He was right! I wanted a charger that will charge thru the case & it does!! It even charges thru my Husband's case on his LG V40 & it's a thicker case with ridges!! I can't recommend this charger enough!! I'm thinking of getting one for my desk at work! Thank you Version Tech!! This doesn't disappoint!!,5
B08KW9LFCZ,R3UIRC0WWEWFRG,Poor quality,Poor quality does not work on galaxy note 10 or note 8,1
B07PLP7S67,R3NGFH1INW323X,Insulation from cold needs to be improved on entry cover.,"The door is a very good door, but in very cold with the entry door ices up and prevents the entry cover from being removed.",5
B092915VWD,R1YAMGCDVVBLRM,Perfect purchase for iPad 4,"This was a perfect fit for our needs - value, power level and versatility for length.",5
B07V3B5SRW,R3QUZ45PRTVMOC,Unsafe,"Don't buy got really hot and didn't charge my Note 9, unsafe.",2
B07GZNVLN8,R1E9GWKHEZEG25,"Great Charger, it can be finicky","So great to just plop my phone down and not worry about cords, snagging, and potentially pulling your phone to floor.

If you don't place the phone down in a good balanced position it can sometimes not charge, but it lights up green when it works, not that bad of a hassle. Hasn't frustrated me yet.

I Plan on getting another one to put on my computer tower. (I wonder if I could mount it within the case)",5
B085G2G115,RQTB8FVJUB1TO,NOT AS ADVERTISED,I bought this charger because it said FAST CHARGING it is NOT!,1
B0728HB18G,R1B0TGDYASVB6C,Good product,Charged my phone fast,5
B07V4DB1Q8,R3NZQNLQ4LCR4A,Charges through slim case and popsocket,"Super happy with this charger, does the fast charge as advertised (with the fast charge plug) and will still work with a case and popsocket on my LG V40.",5
B07J6FWK57,RYN3Z5FPTYQFC,Junk,"You get what you pay for. This charger works somewhat when it wants, still takes forever to charge phone.",1
B0836QVLD3,R2WPOQ37QM5F7R,Great charger,Durable and charges fast,5
B09FT3RT2Y,R286HUEMTTBUL2,Watch charger doesn’t work,This would have been a great product but the watch charger doesn’t work. It’ll charge for about 15 seconds then shut off. The rest of it works fine.,3
B075CJMJYJ,R1YTFRJKMWRB5J,It sucks,Very time I use it it messes with my battery in my car,1
B075L64BZM,R38E1JWFOZ6T02,Grab a bunch of these and leave them everywhere you use your portable devices,Great value for the price. The dual USB 2.1 amp ports allow you to charge more devices with less wall outlets.,5
B0769JN5MG,R12IWIIKOA2CG5,Fast charge that takes up less space,"I have been looking for a charger stand as I believe it takes up less room than the chargers you lay your on. So far it works great, fast charge and a place just to hold phone upright so I can see it all the time",5
B08XX2KGRC,R2X2856MKZFWOA,Works great!,Charges through the phone cover.,5
B097PTBB5V,R3L0TXFOR4LTF9,Good Charger,Works just as good if not better than original macbook charger,5
B071YMZ4LD,R1RBINB9URQKSZ,Wont stay in the outlet,I’ve tried this in a handful of outlets and the weight of it pulls it out of the wall socket constantly.,1
B09JYL9YYX,R20HF9T5VOUU4P,Great charging stand,I love that I don’t need to use my regular cords like other stands on offer. It works great to have by my bed and charge everything overnight. I also just need to take this when I go away and not worry if I have all my different cords with me.,5
B09GVJ2VW5,R3TW7VWBC5B1KD,One stop charging!,Love having one neat area to charge all my devices!,5
B07PGT7LSR,R20NNOSARZSJ0L,Great deal,Works well as has duel charge capability. Fits great on the lighter port.,5
B07SFDQFJ8,RVFFEXY7FI3BU,Cool,Cool,5
B09QRWXL2C,R25LKZIKMW6HTL,Less than a month and one has already stopped working.,"Purchased less than a month ago and one of the chargers has already stopped working. No visible damage and it has been very gently used, however after a few uses it is completely dead.",2
